Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Stadt Werder (Havel),"XPlanungskonforme Erfassung von Daten der Bauleitplanung sowie
Datenaufbereitung und -erhebung von analogen Bestandsplänen",2013,,"39.344,73 €",
Stadt Werneuchen,"Errichtung von 6 Solar-LED-Leuchten in der Stadt Werneuchen, OT
Tiefensee",2014,,"19.349,40 €",
Stadt Werneuchen,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2013,,"36.667,76 €",
Stadt Werneuchen,Wasserwerk Werneuchen - Sanierung der Rohwassergewinnung,2013,2014,"162.936,04 €","162.936,04 €"
Stadt Wildau,"Erschließung hafenaffiner Flächen im Hafen Königs Wusterhausen
/Wildau, 2. BA 1. Stufe",2010,,"11.753.377,50 €",
Stadt Wildau,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2011,2012,"34.938,40 €","34.938,40 €"
Stadt Wildau,Südanbindung ehemaliges SMB-Gelände,2008,2014,"1.429.882,22 €","1.429.882,22 €"
Stadt Wittenberge,"2. BA Infrastrukturelle Erweiterung Bahn-Binnenhafen Wittenberge
Erweiterung Gleisanlagen und Umschlagtechnik",2013,2014,"2.997.041,77 €","2.997.041,77 €"
Stadt Wittenberge,Ausbau der Bad Wilsnacker Straße,2009,2010,"941.824,72 €","941.824,72 €"
Stadt Wittenberge,Ausbau der Röhlstraße,2011,2013,"399.949,50 €","399.949,50 €"
Stadt Wittenberge,"Ausbau Lückenschluss Radweg ""Gänsetour"" in Wittenberge",2013,2014,"116.520,97 €","116.520,97 €"
Stadt Wittenberge,Einzelhandelsstandort- und Zentrenkonzept,2010,2011,"19.992,00 €","19.992,00 €"
Stadt Wittenberge,"Entwicklung südliches Bahngelände zur musealen Nutzung des
Bahnbetriebswerkes Wittenberge",2011,2014,"2.833.822,70 €","2.833.822,70 €"
Stadt Wittenberge,Erhöhung der Reinigungskapazität der Kläranlage Wittenberge,2011,2014,"884.834,83 €","884.834,83 €"
Stadt Wittenberge,Gestaltung der Freifläche am Bürgerzentrum,2009,2012,"125.214,19 €","125.214,19 €"
Stadt Wittenberge,Gestaltung der östlichen Elbuferpromenade,2011,,"2.046.608,16 €",
Stadt Wittenberge,"Infrastrukturelle Erweiterung Bahn-Binnenhafen Wittenberge Baustufe
1 und Ausziehgleis Ost",2010,2014,"1.615.512,36 €","1.615.512,36 €"
Stadt Wittenberge,Innenstadtmanagement (begleitende Öffentlichkeitsarbeit),2010,2012,"15.319,24 €","15.319,24 €"
Stadt Wittenberge,"Umbau der Grundschule ""Friedrich Ludwig Jahn"" als ""Inklusive
Grundschule"" (Pilotprojekt)",2013,,"147.417,37 €",
Stadt Wittstock/Dosse,"Aufbereitung von Straßenbestandsdaten, Straßenbeleuchtungsplänen
u. Regenentwässerungsanl.; Bereitstellung d. Daten alsWMS/WFS",2012,2014,"58.377,06 €","58.377,06 €"
Stadt Wittstock/Dosse,"Entwicklungskonzeption und Konversionsplanung für den ehemaligen
Flugplatz Wittstock",2009,2010,"72.000,00 €","72.000,00 €"
Stadt Wittstock/Dosse,Ergänzung der IT-Ausstattung am Gymnasium Wittstock,2011,2012,"55.200,00 €","55.200,00 €"
Stadt Wittstock/Dosse,"Ergänzung der IT-Ausstattung am Gymnasium Wittstock/Dosse, 2.
Ausbaustufe",2014,,"55.100,00 €",
Stadt Wittstock/Dosse,"Erstellung eines Konzeptes zum Aufbau des Geoportal Wittstock/
Dosse und dessen Einbindung in die GDI-BE/BB",2010,2011,"9.996,00 €","9.996,00 €"
Stadt Wittstock/Dosse,Erstellung eines Wärmeversorgungskonzeptes,2009,2010,"74.640,00 €","74.640,00 €"
Stadt Wittstock/Dosse,"Rückbau und Entsiegelung auf Teilflächen der ehem. Truppenunter
kunft Alt Daber (TF2, TF4 sowie Geb. 11 und 48 der TF3)WE144237",2014,,"1.419.342,71 €",
Stadt Wittstock/Dosse,"Rückbau und Entsiegelung der ehemaligen WGT-Liegenschaft
Flugplatz Wittstock, PM 008-02, Baufeld 5",2011,2013,"449.724,79 €","449.724,79 €"
Stadt Wittstock/Dosse,"XPlanungskonforme Bereitstellung von 5 Bauleitplänen und des
Flächennutzungsplanes etc., Bereitstellg. d. Daten als WMS/WFS",2012,,"25.086,60 €",
Stadt Wriezen,"Erstellung eines Kommunalen Energiekonzeptes Niederoderbruch-
Oberbarnim",2012,2014,"116.501,01 €","116.501,01 €"
Stadt Zehdenick,"Aufbau eines Infrastrukturknotens und Geoportals und Bereitstellung
kommunaler Geodaten",2013,,"175.273,88 €",
Stadt Zehdenick,"Ausbau Haupterschließungsstraße (Waldstraße) zum Gewerbegebiet
Nord und Regenrückhaltebecken",2011,2013,"581.190,00 €","581.190,00 €"
Stadt Zehdenick,Detailuntersuchung Wasserwerk Exin,2013,,"245.735,00 €",
Stadt Zehdenick,"Konzeption für den Aufbau eines Geoportals zur Ansicht und
Bereitstellung kommunaler Geodaten",2012,2014,"7.140,00 €","7.140,00 €"
Stadt Zehdenick,"Rückbau und Entsiegelung auf der ehemaligen WGT-Liegenschaft
Kaserne Vogelsang PM 45-04, Baufeld 06",2011,2012,"588.574,12 €","588.574,12 €"
Stadt Zehdenick,"Rückbau und Entsiegelung auf der ehemaligen WGT-Liegenschaft
Kaserne Vogelsang, Baufeld 04",2009,2010,"615.283,05 €","615.283,05 €"
Stadt Zehdenick,"Rückbau und Entsiegelung auf der ehemaligen WGT-Liegenschaft
Raketenlager Zehdenick, Baufeld 01",2009,2012,"418.149,59 €","418.149,59 €"
Stadt Zehdenick,"Rückbau und Entsiegelung auf einer Teilfläche der ehemaligen WGT-
Liegenschaft Raketenlager Zehdenick PM 045-03, Baufeld 02",2011,2012,"615.748,82 €","615.748,82 €"
Stadt Zehdenick,"Rückbau und Entsiegelung der ehemaligen WGT-Liegenschaft
Kaserne Vogelsang, Baufeld 5",2010,2011,"620.141,28 €","620.141,28 €"
Stadt Zossen,"Ergänzung der IT-Ausstattung an der Geschwister-Scholl-Schule
Zossen, OT Dabendorf",2013,2014,"74.362,74 €","74.362,74 €"
Stadtwerke Beelitz GmbH,Errichtung einer KWK-Anlage,2010,2011,"82.500,00 €","82.500,00 €"
Stadtwerke Beelitz GmbH,Errichtung eines Blockheizkraftwerkes (BHKW),2014,,"0,00 €",
Stadtwerke Beelitz GmbH,Errichtung eines Blockheizkraftwerkes (BHKW),2014,,"0,00 €",
Stadtwerke Finsterwalde GmbH,Sanierung Reinwasserbehälter WW Finsterwalde,2013,,"468.955,00 €",
Stadtwerke Neuruppin GmbH,Machbarkeitsstudie Wärmespeicherung,2010,2011,"11.390,00 €","11.390,00 €"
Stadtwerke Pritzwalk GmbH Geschäftsführer Herrn Kähler,"Errichtung eines BHKW sowie Aufbau eines
Nahwärmeversorgungsnetz",2012,2012,"22.060,00 €","22.060,00 €"
Stadur Composite GmbH & Co. KG,Weiterentwicklung Projekt Digitaldruck,2011,2014,"320.577,26 €","320.577,26 €"
STAHL-Metallbau Müller GmbH,Erweiterung einer Betriebsstätte des Stahl- und Metallbaus,2008,,"0,00 €",
Stahlwasserbau Beeskow GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschl. Produktvorbereitung und Design",2007,2009,"29.200,00 €","29.200,00 €"
Stahlwasserbau Beeskow GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung und Produktion von
Stahlwasserbauprodukten",2008,2013,"84.800,00 €","84.800,00 €"
"Stalmasiak, Claudia","Errichtung einer Betriebsstätte der Schank- und Speisewirtschaft
(Café)",2009,,"0,00 €",
STAMA Stahl- und Maschinenbau Bad Saarow GmbH,"Diversifizierung einer Betriebsstätte zur Herstellung von Hebezeugen,
Stahlkonstruktionen und Sondermaschinen",2008,2012,"122.461,00 €","122.461,00 €"
Standortmanagement Golm GmbH,"Förderung eines branchen- und standortbezogenen
Technologietransfers im Wissenschaftspark Potsdam-Golm",2012,2014,"176.431,97 €","176.431,97 €"
Standortmanagement Golm GmbH,"Unterstützung und Förderung eines innovationsunterstützenden
Managements im Wissenschaftspark Potsdam-Golm",2013,,"112.157,00 €",
"Stapel, Torsten",Modernisierung der Betriebsausstattung eines Bildberichterstatters,2011,2014,"1.251,94 €","1.251,94 €"
STARZ GmbH Elektrotechnik und Kehrel AG,"Erweiterung einer Betriebsstätte zur Herstellung von Erzeugnissen der
Elektrotechnik",2007,2013,"511.936,00 €","511.936,00 €"
Starz GmbH Elektrotechnik-Electronic,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-,
Produktions- und Umweltmanagement",2009,2011,"20.130,00 €","20.130,00 €"
STATTwerke e. V.,"Ausstattung der Produktionsschule WiKy an den Standorten Wittstock
und Kyritz (PS WiKy)",2012,,"25.000,00 €",
STATTwerke e. V.,Produktionsschule Wittstock-Kyritz,2009,2010,"20.173,10 €","20.173,10 €"
"Staude, Heike",Energierückgewinnung,2010,2012,"2.020,00 €","2.020,00 €"
"Staude, Heike",Wechsel auf neuen Backofen in der Konditorei Fuchs,2011,2014,"7.723,00 €","7.723,00 €"
Stavenowinvest GmbH,Förderung von 2 Innovationsassistenten,2007,2008,"27.750,00 €","27.750,00 €"
STB - Service Technik Beratung GmbH,Beratung zur Zustandsanalyse des gesamten Produktionsprozesses,2012,,"0,00 €",
STB - Service Technik Beratung GmbH,"Erweiterung einer Betriebsstätte zur Produktion von Spezialdichtungen
aus Kohle und Metall",2011,,"2.198.600,00 €",
STB - Service Technik Beratung GmbH,"Erweiterung einer Betriebsstätte zur Produktion, Handel undService mit
Dichtungen aus Metall und Kohle",2008,2010,"645.000,00 €","645.000,00 €"
Stein-Design & Raumgestaltung GmbH,"Modernisierung einer Betriebsstätte zum Handel mit Raumtextilien und
deren handwerkliche Verarbeitung",2009,2010,"7.876,00 €","7.876,00 €"
Steinke & Mieczkowski GbR Altstadtquatier,Erweiterung eines Hotels,2012,2014,"8.050,00 €","8.050,00 €"
"Steinmetz, Marco","Erweiterung einer Betriebsstätte für Anlagenbau durch Anschaffung
neuer Betriebsausstattung",2011,2012,"7.665,00 €","7.665,00 €"
"Steinmetz, Marco",Erweiterung einer Betriebsstätte für die Erbringung von Elektroarbeiten,2012,2013,"4.325,00 €","4.325,00 €"
"Steller, Christiane",Modernisierung einer Betriebsstätte für Fotografie,2010,2011,"5.153,00 €","5.153,00 €"
"Stemmann, Anke","Errichtung einer Betriebsstätte für den Einzelhandel mit touristischem
Bedarf",2011,2012,"7.445,00 €","7.445,00 €"
Stemme AG,Beratung zur Optimierung des Vertriebssystems,2010,2011,"7.200,00 €","7.200,00 €"
Stemme AG,Beschäftigung von einem Innovationsassistenten,2008,2010,"28.000,00 €","28.000,00 €"
Stemme AG,"Forschungsvorhaben ""Strukturtechnologien für Innovative
Arbeitsflugzeuge"" (Multi-Role-Utility Airkraft)",2010,2014,"1.326.677,00 €","1.326.677,00 €"
Stemme AG,"Konzipierung und Implementierung eines Management-Informations-,
Planungs- und Vertragsmanagementsystems",2009,2011,"17.500,00 €","17.500,00 €"
Stenger Waffelfabrik GmbH,Erweiterung einer Betriebsstätte zur Herstellung von Waffelprodukten,2010,,"262.000,00 €",
Steremat Elektrowärme GmbH,"Errichtung einer Betriebsstätte zur Herstellung von
Induktionserwärmungsanlagen",2011,,"0,00 €",
Steremat Elektrowärme GmbH,Geschäftsprozessanalyse und Neuorganisation der Fertigung,2010,2011,"9.000,00 €","9.000,00 €"
Sternenbäck GmbH Spremberg,"Diversifizierung einer Betriebsstätte zur Herstellung von Back- und
Konditoreiwaren",2010,2014,"740.269,00 €","740.269,00 €"
STEROS GmbH,"Messeteilnahme ""AGRITECHNICA 2011"" in Hannover",2011,2012,"4.330,00 €","4.330,00 €"
STEROS GmbH,"Messeteilnahme ""AGRITECHNICA 2013"" in Hannover",2013,2014,"10.860,00 €","10.860,00 €"
STEROS GmbH,"Messeteilnahme ""Energy Decentral 2014"" in Hannover",2014,,"11.200,00 €",
STEROS GmbH,"Messeteilnahme ""EuroTier 2012"" in Hannover",2012,2013,"4.340,00 €","4.340,00 €"
"Steve Piering & Frank Schreiber GbR Climb Up!
Kletterwald Berlin/Brandenburg",Erweiterung eines Kletterwaldes,2008,2011,"34.100,00 €","34.100,00 €"
"Stienemann, Petra","Modernisierung einer Betriebsstätte für den Einzelhandel mit
Geschenkartikeln",2012,2014,"1.564,00 €","1.564,00 €"
Stiftung Brandenburgische Gedenkstätten,"Herrichtung und Ausstattung des Ausstellungsgebäudes,
Dokumentationsstelle Brandenburg",2009,,"714.584,00 €",
Stiftung Brandenburgische Gedenkstätten,"Rückbau und Entsorgung von Baulichkeiten auf der ehemaligenWGT-
Liegenschaft Frauen KZ - Ravensbrück PM 027",2011,2013,"375.000,00 €","375.000,00 €"
Stiftung Brandenburgische Gedenkstätten,"Sanierung des historischen Trafogebäudes, Gedenkstätte
Sachsenhausen",2013,2014,"89.428,38 €","89.428,38 €"
Stiftung Brandenburgische Gedenkstätten,"Sanierung Turm J, Gedenkstätte Sachsenhausen",2013,,"50.000,00 €",
Stiftung Brandenburgische Gedenkstätten,"Sanierung und Umbau der ehemaligen SS-Kommandantur, Mahn- und
Gedenkstätte Ravensbrück",2011,,"3.262.300,00 €",
Stiftung Brandenburgische Gedenkstätten,"Sanierung und Umbau Turm A, Gedenkstätte Sachsenhausen",2013,2014,"390.000,00 €","390.000,00 €"
Stiftung Brandenburgische Gedenkstätten,"Umbau des ehemaligen Garagentraktes zum Verwaltungs- und
Museumsbereich, Mahn- und Gedenkstätte Ravensbrück",2009,2013,"3.000.454,29 €","3.000.454,29 €"
Stiftung Brandenburgische Gedenkstätten,"Umgestaltung der Umgebungsfläche des Besucherinformations-
zentrums der Mahn- und Gedenkstätte Ravensbrück",2009,2010,"544.000,00 €","544.000,00 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),3. Ausbaustufe Videokonferenz- und Schulungsraum,2010,2012,"34.547,25 €","34.547,25 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Aufbau einer ""Sozialen Kollaborationsplattform/Netzwerk""",2014,,"247.000,00 €",
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Aufbau einer digitalen Wissenschaftsplattform ""B/ORDER STUDIES""
(interdisziplinäres Netzwerk)",2011,2013,"477.826,58 €","477.826,58 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Aufbau einer modernen Hardware und Softwareinfrastruktur für die
Forschung in der Wirtschaftsinformatik",2009,2011,"195.950,87 €","195.950,87 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Aufbau einer Serverinfrastruktur für ein virtuelles WebCenter,2013,2014,"165.585,71 €","165.585,71 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Aufbau eines Digitalisierungsservices mit Volltextrecherche,2009,2011,"114.000,00 €","114.000,00 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Aufbau eines Kompetenzzentrums Digitale Lehre,2014,,"306.000,00 €",
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Aufbau eines Portals zur Langzeitbereitstellung von AV-Medien und
Bildmaterialien",2014,,"142.000,00 €",
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Aufbau von Lerncontainern im Lesesaal der Universitätsbibliothek
Frankfurt (Oder)",2013,,"100.000,00 €",
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Aufteilung und biometrische Erweiterung des Experimentallabors,2013,2014,"24.997,47 €","24.997,47 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Ausbau der IT-Infrastruktur im Bereich Storage und Backup zum
Einsatz von Multimedia",2013,2014,"228.031,84 €","228.031,84 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Ausstattung der Universitätsbibliothek des BIZ mit Rollregalen,2008,2011,"82.051,55 €","82.051,55 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Ausstattung des CIP-Pools GD 03,2013,2014,"164.936,53 €","164.936,53 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Ausstattung eines Schulungsraumes und von Carrels mit NCs in der
Universitätsbibliothek Frankfurt (Oder)",2009,2011,"42.121,19 €","42.121,19 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Beschaffung innovativer Peripherietechnik in den  Lesesaalbereichen
des Bibliothekssystems",2011,2012,"66.385,55 €","66.385,55 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Beschaffung und Installation von zwei Buchsicherungsanlagen,2011,2012,"26.591,90 €","26.591,90 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Beschaffung von digitalen Medien aus den Fachgebieten Rechts-,
Kultur- und Wirtschaftswissenschaften",2010,2011,"68.155,16 €","68.155,16 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Beschaffung von Technik für das Blended Learning im
Sprachenzentrum der EUV",2010,2011,"38.111,84 €","38.111,84 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Beschaffung zentraler Medienserver für Audio- und Videodateien,2010,2011,"48.658,54 €","48.658,54 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Einführung des Dienstes ""externer VPN-Zugang (Virtual Private
Network)""",2013,2014,"101.066,43 €","101.066,43 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Einführung des Internetprotokolls IPv6 und Erneuerung des Internet-
Routers an der Europa-Universität Viadrina",2013,2014,"154.345,46 €","154.345,46 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Erweiterung des Campus-Backbone mit Core-Switchen,2013,2014,"199.634,30 €","199.634,30 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Finale Komplettierung - VoIP-Installation an der EUV,2008,2011,"130.000,00 €","130.000,00 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Gerätebeschaffung zur Einführung des Dienstes
DFNRoaming/eduroam",2013,2014,"199.512,55 €","199.512,55 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Gründungs- und Standortmanagement im Jahr 2014,2013,,"100.000,00 €",
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Investitionen zur Verbesserung der audio- und videotechnischen
Infrastrukturen",2011,2013,"267.998,19 €","267.998,19 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Medienlabor MASS-LAB,2008,2011,"135.256,46 €","135.256,46 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Online-Plattform für Wissenschaftsmanagement und FuE-Kooperation
zw. EUV und regionalen Unternehmen",2009,2011,"25.000,00 €","25.000,00 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Schaffung der technischen Infrastruktur für zentrale
Veranstaltungsaufzeichnungen u. Übertragungen in High-Definition",2014,,"311.000,00 €",
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Schaffung der Voraussetzungen f. die Übertragung von Vorlesungen
und Veranstaltungen als Video-Stream ins Netzwerk",2010,2011,"34.992,68 €","34.992,68 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Schaffung einer Infrastruktur für das autonome, technologie- gestützte
Sprachenlernen (Selbstlernzentrum und Sprachlabore)",2011,2012,"200.000,00 €","200.000,00 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Schaffung einer virtuellen Forschungs- und Lehrumgebung B/ORDERS
IN MOTION",2013,2014,"224.643,71 €","224.643,71 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"siehe 80135061 Ausstattung der Universitätsbibliothek des BIZ mit
Rollregalen",2007,,"0,00 €",
Stiftung Europa-Universität Viadrina Frankfurt (Oder),siehe 80135064 Finale Komplettierung - VoIP-Installation ander EUV,2007,,"0,00 €",
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Standortmanagement an der Europa-Universität Viadrina Frankfurt
(Oder) 2011 - 2013",2011,2015,"289.686,77 €","289.686,77 €"
Stiftung Europa-Universität Viadrina Frankfurt (Oder),"Transferstelle der Europa-Universität Viadrina Frankfurt (Oder) 2012 -
2014",2012,,"233.313,78 €",
Stiftung Preußische Schlösser und Gärten,"Denkmalgerechte Sanierung des Kavalierhauses Schloss Rheinsberg
1. BA",2012,,"2.724.000,00 €",
Stiftung Preußische Schlösser und Gärten,Erweiterung und Umsetzung der Dauerausstellung im Schloss Paretz,2014,,"131.000,00 €",
"Stiftung Sozialpädagogisches Institut Niederlassung
Brandenburg","Anschaffung einer modernen Tonanlage für das Jugendkultur- und
Familienzentrum ""Lindenpark""",2014,,"50.000,00 €",
"Stiftung Sozialpädagogisches Institut Niederlassung
Brandenburg","Ausstattung für die neuen Räume des Theaters Comédie Soleilin
Werder",2014,,"12.000,00 €",
"Stiftung Sozialpädagogisches Institut Niederlassung
Brandenburg","Neubau einer Holzwerkstatt sowie Umbau- u. Brandschutzmaßnahmen
im Bestandsgebäude der Lernwerkstatt ""OFFI"" Bad Freienwalde",2012,,"239.000,00 €",
Stiftung Stift Neuzelle,"Verbesserung der kulturellen und touristischen Infrastruktur des
Klosters Neuzelle",2014,,"119.173,74 €",
"Stirnat, Gunnar",Beratung zum Aufbau eines Qualitätsmanagementsystems,2008,2009,"16.400,00 €","16.400,00 €"
STK_Koordinierungsstelle_NO,Analyse zur sozioökonomischen Lage im Land Brandenburg,2012,2013,"24.660,87 €","24.660,87 €"
STK_Koordinierungsstelle_NO,"Anteilige Finanzierung der Erarbeitung der Tabelle ""Kontext-
Indikatoren"" für die Jahresberichte (JB 2007)",2008,,"68,02 €",
STK_Koordinierungsstelle_NO,BGLA-Sitzungen,2008,,"604,80 €",
STK_Koordinierungsstelle_NO,Dolmetschung dt.-poln. Workshop,2009,2009,"1.411,24 €","1.411,24 €"
STK_Koordinierungsstelle_NO,Durchführung eines Peer Review Workshops zu S3-Strategien,2013,,"5.040,00 €",
