Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
Günter - Köhler - Institut für Füge technik und Werkstoffprüfung GmbH;2015 FE 9060;Entwicklung von Bearbeitungsstrategien zur profilgebenden Laserablation keramischer Werkstoffe mit ultrakurzen Pulsen;15.06.2016;14.06.2019;158.936,50 €;80%;7743;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
Günter - Köhler - Institut für Füge technik und Werkstoffprüfung GmbH;2015 WIN 0008;Ultrakurzpulslaser Präzisionsbearbeitungsanlage zur Innenbearbeitung transparenter Materialien und zur Herstellung von Oberflächenprofilen mit in-situ Prozesskontrolle: Investition in Laser, Messtechnik, Optik und durchgängige Datenverarbeitung;01.01.2016;15.01.2017;701.505,00 €;80%;7745;Deutschland;059 - Forschungs- und Innovationsinfrastruktur (privat, einschließlich Wissenschaftsparks)
Gunter und Reinhard Otto Immobilienverwaltung GbR;2015 TIZ 0273;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen durch die Gunter und Reinhard Otto Immobilienverwaltung GbR (Besitzunternehmen) zur Vermietung an die OTTO Vision Technology GmbH (Betriebsunternehmen);01.07.2015;31.05.2016;350.000,00 €;80%;7751;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Gustav Zitzmann Mühle Ingersleben GmbH;2015 EEB 0060;Durchführung einer Energieefizienzberatung (Situationsanalyse) für das Unternehmen Gustav Zitzmann GmbH;01.11.2015;28.02.2016;12.725,00 €;80%;99192;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Gustav Zitzmann Mühle Ingersleben GmbH;2016 EEI 0057;Erneuerung des Plansichters;01.04.2016;30.10.2016;190.018,00 €;80%;99192;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
GUTENA Nahrungsmittel GmbH;2016 IPO 0002;Prozessinnovation mit dem Thema: Veredelung von Filinchen im Rahmen der Neuentwicklung von Produkten;18.05.2016;31.10.2016;38.350,00 €;80%;99510;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
H & M Baumarkt GmbH;2015 TIZ 0080;Anschaffung neuer Maschinen und Einrichtungen sowie immaterielle Wirtschaftsgüter für das Unternehmen;17.02.2015;31.03.2016;80.000,00 €;80%;98544;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Haarmonie Inh. Babett Güntherodt;2015 TIZ 0287;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.10.2015;31.12.2016;15.000,00 €;80%;99996;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Haarschnitt by Kathrin Reichardt;2015 TIZ 0398;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;26.11.2015;31.12.2016;32.000,00 €;80%;99084;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Hainich-Holz GmbH;2015 TIZ 0406;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;21.10.2015;31.12.2016;200.000,00 €;80%;99988;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Hallenburg-Ventil GmbH;2015 EEB 0123;Durchführung einer Energieeffizienzmaßnhame für das Unternehmen Hallenburg-Ventil GmbH;15.02.2016;31.05.2016;12.110,00 €;80%;98587;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Hasenthaler Kunststoffverarbeitung GmbH;2016 EEI 0108;Substitution einer Spritzgießmaschine;01.06.2016;15.03.2017;126.000,00 €;80%;96515;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
HEB GmbH;2016 TIZ 0005;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;30.01.2016;01.08.2016;259.000,00 €;80%;96515;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Hehnke GmbH & Co. KG Kunststoffteile - Formenbau;2015 EEB 0026;Durchführung einer Energieeffizienzberatung (Projektbegleitung) für die Hehnke GmbH & Co. KG Kunststoffteile - Formenbau;28.09.2015;31.10.2015;4.125,00 €;80%;98587;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Hehnke GmbH & Co. KG Kunststoffteile - Formenbau;2015 EEI 0119;Substitution der Spritzgussmaschine Arburg 420C durch eine energieeffizientere Maschine für die Hehnke GmbH & Co. KG Kunststoffteile - Formenbau;01.01.2016;30.03.2016;125.000,00 €;80%;98587;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Heim GmbH;2015 AWF 0020;Teilnahme an internationalen Messe in Deutschland/ im Ausland;23.10.2015;29.05.2016;6.000,00 €;80%;98634;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
heimathlet Kirbst Schnauß Schneider GbR Elisa Kirbst, Toni Schnauß und David Schneider;2016 AWF 0065;Teilnahme an der Messe home & living Expo vom 15.10.2016 bis 23.10.2016 in Kirchberg / Luxemburg sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;09.03.2016;23.10.2016;13.000,00 €;80%;99425;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
heimathlet Kirbst Schnauß Schneider GbR Elisa Kirbst, Toni Schnauß und David Schneider;2016 AWF 0072;Teilnahme an der Messe Hotel & Gast vom 03.04.2016 bis 05.04.2016 in Wien / Österreich sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;15.03.2016;05.04.2016;13.000,00 €;80%;99425;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
heimathlet Kirbst Schnauß Schneider GbR Elisa Kirbst, Toni Schnauß und David Schneider;2016 AWF 0106;Teilnahme an der Messe FAFGA vom 19.09.2016 bis 22.09.2016 in Innsbruck / Österreich sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;20.04.2016;22.09.2016;13.000,00 €;80%;99425;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
heipa technische Papiere GmbH;2016 EEB 0047;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Heipa technische Papiere GmbH;09.05.2016;10.10.2016;12.600,00 €;80%;37308;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
